Customer_ID,star rating,Day,Month,Year, Seat Type,Departure,Arrival,Via,traveler_types,country,status,reviews
1,4,17,February,2023,Economy Class,New York , Tel Aviv      ,Direct Flight,Solo Leisure,United States, Trip Verified ,"  First, travel starts 6pm arrival at the airport, flight to leave at 8:20pm. Delayed! So I miss my connection! The gate agent at beginning flight couldnâ€™t even log into the system for 40 minutes because he couldnâ€™t remember his password! Causing me to miss Any Outgoing flights to make My connection. Landed 25 minutes before my connection departs and After I run to the gate with no assistance from delta, no cart to Carry me, no communication with gate agent at connection. Making It 15 minutes before departure. They knew I was going to miss my connection! No one told me they would close the gate 15 minutes early out of all the gate agents and flight attendants. No one told me not to run! My Destination consists of a 10 hour flight that only flies at 11:30pm. So I had to Wait the entire next day. The gate agents at connecting flight laughed at my frustration and the sight of me running to the gate . I go looking for my bag while talking to my service and they keep telling me to find a ticket agent at the airport because all they do is book tickets and they canâ€™t help with anything! Canâ€™t find my bag, agent On the phone proceeds to tell me my luggage is at the destination. I get to the ticket agent says itâ€™s not at the destination but wonâ€™t get it because itâ€™s going on the next flight. They gave me a hotel voucher to the Trashiest hotel in town. I got to the nasty hotel at 2am and had to check out at 10am. They offer me $15 food voucher for 24hrs! Delta wouldnâ€™t approve an extended stay. I had no clothes! Had to buy everything. Had to stay 13hrs at the airport! The whole time the airport agents tell me to call customer service for help and customer service tells me to talk to the ticket agents. Finally I get $500 ecredit as if I want to fly with delta again. My flight was $1200, hotel at destination that I missed was $500 a night non refundable!  I asked for delta lounge while I wait and denied!  Rude agents across the board. Told me that all my losses and inconvenience was only worth the ecredit! Nothing I can use separate from delta! Such a devalued customer to them! Why would I ever Want to trust them with my time and money. I was deemed unworthy of being a satisfied customer based On the opinion of staff who is not going through what I am and has not suffered my Losses."
2,1,16,February,2023,Economy Class,Milwaukee , Ft Lauderdale       ,Direct Flight,Business,United States, Trip Verified ,"  Delta did not issue any weather waivers so customers can change flights without incurring added costs even though the National Weather Service issued a Winter Storm Warning for our area, we are supposed to get 10 inches of snow, National weather reports indicate 30 million people will be impacted by the storm AND American, United and Southwest all have issued weather waivers. We wanted to take an earlier flight to avoid the storm today but they wanted to charge $1200 per ticket! All we can do now is sit here, watch the snowfall, and wait for our flight to be impacted/cancelled. We have a short 3 day trip and now itâ€™s very likely to be ruined. Unbelievable really."
3,1,10,February,2023,Economy Class,New York , Charlotte       ,Direct Flight,Business,United States, Trip Verified ,"  Per our pilot, there would be a slight delay due to a system/mechanical glitch. After waiting four hours we were told, the plane was returning back to the gate. We all assumed to swap out planes. However, when we got to the gate they said the flight was canceled due to weather conditions (no rain, snow or etc) and surrounding flights were still scheduled including Delta to the same location we were en route to. Additional costs were incurred due to this. The Delta's staff offered no vouchers for food, hotels or anything. Boarding the flight the next day, the new on flight staff apologized for the system issues and flight being rescheduled. They also advised us to contact Delta for compensation. Some flyers had already received refunds, vouchers and sky miles. I just received communication on 2/7/23 for my 9/12/22 advising me Delta does not compensate for weather conditions.  Delta will not do right until they are held accountable."
4,1,8,February,2023,Premium Economy,Atlanta , Cape Town       ,Direct Flight,Family Leisure,United States, Trip Verified ,"  We flew from Atlanta to Cape Town and Back after month. Both times flying we had our baby stroller and car seat checked in. Upon receiving our stroller, the wheel was cracked, as well as the seat was completely snapped. This is an incredibly expensive and well built stroller. It was mishandled in a very inappropriate way. We reached out to the airline a day late per their 7 day policy, we understood completely that we did that, the reasoning was simple, we were in a strange country with no signal and had to figure out what to do. Delta took about 3 days to tell us what to do, that gave us 3 days to handle it and acquire signal, with a baby adjusting to a new country. My wife has been a member of delta for over 6 years and swears by them, she only flies delta. Our claim was initiated and we were very polite to communicate. This was Deltas head baggage control managers response. He said that we aren't at all going to issue anything. He left us with a delta $100 travel voucher. He was rude, he never replied to the email that we sent back begging to help us and understand that we were a day late on our claim. We need a stroller, that's what our baby needs, Delta broke it and they aren't taking any responsibility."
5,2,6,February,2023,Economy Class,Dallas , Atlanta        ,Direct Flight,Solo Leisure,United Kingdom, Trip Verified ,"  Checkin staff always seem unfriendly, no matter how much you smile and be friendly to them. They are the face of Delta - not just cabin crew! I arrive at SKY priority - no â€˜hello, no how is your dayâ€™, just notices an old luggage tag and asks me to remove it and put it on the bin. Fair enough I thought, my fault. I either forget or simply the tags are nearly glued on and just wait for use their scissors. I regularly fly top tier with other delta compatible / SKY team airlines. So, I ask if I can use delta lounge. The answer is no. I ask to double check but get told to ask lounge staff instead - Who later said yes. Isnâ€™t this on the computer? No goodbye. â€œSecurity is over thereâ€, no smile - not once. I get that they do the same thing countless times each day, but isnâ€™t it their job to greet people? Do I need to tip for giving my suitcase to get a fake smile? Come on Delta. A smile really makes it appear that you pretend to care. Sadly, the checkin experience downgraded to 3. Cabin staff much better, on most occasions."
6,3,6,February,2023,First Class,San Jose , Philadelphia , Atlanta     ,Solo Leisure,United States,Not Verified ,"  After a horrible experience on Spirit Air to go on vacation. I got to fly Delta home. Very tired after a great trip the flight crew were kind and professional, the seats recline. It truly is the little things, a soda, a pair of headphones etc.. But itâ€™s the attitude of the employees at Delta that I am on here to thank and commend. Two experiences were night and day Thanks Delta I will be selecting you again for my next trip."
7,9,5,February,2023,Economy Class,Los Angeles , Kona       ,Direct Flight,Solo Leisure,United States, Trip Verified ," Mixed bag. Crew was excellent. Really tried hard to make up for an aircraft that was very old. Window shade, overhead light, remote - broken. Screen tiny. Pre-ordered meal pathetic. Wrapped cookie on the tray for dessert, no bread. I was so happy to have a wide body to Kona which is a rarity these days but the dinosaur they pulled out was in need of euthanasia. I only hope aircraft maintenance was better than the cabin. Truly the crew was embarrassed and constantly apologizing. I really felt bad for them. On the plus side, Wi-Fi occasionally worked but was not free as advertised."
8,6,4,February,2023,Economy Class,Orlando , Lisbon , New York     ,Couple Leisure,United States,Not Verified ,"  Our flight was to leave JFK on October 13th 2022 at 5pm and to arrive in Lisbon at 8am next day. We had hotel booked in Portugal and a business seminar scheduled for October 15th. All of a sudden our flight was delayed, and then delayed a 2nd time in which Delta offered a $500 voucher to me and my husband. By 3 am we were still in NY and then the flight got cancelled. We lost our hotel in Portugal but still had to pay for it, they booked us a flight in economy to Paris and then to Lisbon on the 14th and by the time we made it to Lisbon we had no bags. Our bags only showed up 3 days later. I filed a claimed and Delta thinks the $500 voucher is compensation enough. I am a yearly paying customer and reconsidering dropping them since that doesn't mean anything to them. Delta is only here to get your money and not caring for anything else. Very disappointed and going to file a second claim."
9,1,1,February,2023,Economy Class,Bangkok , Sanâ€‹ Francisco , Incheon & Seattle   ,Solo Leisure,United States,Not Verified ," Seats were packed like egg-case, I am a small person but everyone's shoulder was touching each other. Super uncomfortable. One less then average meal plus a sandwich before landing is not okay for a 9 hr flight. Only sport you can watch is golf, very strange. I don't think I will want to fly with Delta for a long while."
10,2,30,January,2023,Premium Economy,San Jose , Augusta       ,Direct Flight,Family Leisure,United States, Trip Verified ," Beware checked bag may not arrive with you at the final destination! I flew home from my Vacation only to find out that my checked bag never make it. At no point did Delta inform me that there was a problem or offer a solution to the problem. I have to call Delta 1800 number 4 times, each time around 30 minutes wait, only to be told that the bag never left CA and that they don't know why. If and when the bag arrive at the final Destination, then I have to call the 1800 number to verify that the bag arrived before heading to the airport. Delta apps does not reflect the reality. 2 Days after I return from my trip will I go to the airport and claim my bag.."
